iter	Passed	Remaining
475	651	717
476	652	715
477	652	712
478	653	710
479	654	708
480	655	706
481	655	704
482	656	702
483	657	700
484	658	698
485	658	696
486	659	694
487	660	692
488	662	691
489	663	690
490	664	688
491	665	686
492	665	684
493	666	683
494	667	681
495	668	679
496	669	677
497	669	675
498	670	673
499	671	671
500	672	669
501	672	667
502	673	665
503	674	663
504	676	662
505	677	661
506	678	659
507	679	658
508	680	656
509	681	654
510	681	652
511	682	650
512	683	648
513	684	647
514	685	645
515	685	643
516	686	641
517	687	639
518	688	638
519	689	636
520	689	634
521	693	634
522	694	633
523	694	631
524	695	629
525	696	627
526	697	625
527	698	624
528	698	622
529	699	620
530	700	618
531	701	616
532	702	615
533	703	613
534	703	611
535	704	609
536	707	610
537	708	608
538	709	607
539	710	605
540	711	603
541	712	601
542	713	600
543	713	598
544	714	596
545	715	594
546	716	593
547	716	591
548	717	589
549	718	587
550	719	586
551	720	584
552	722	584
553	724	582
554	724	581
555	725	579
556	726	578
557	727	576
558	728	574
559	729	572
560	730	571
561	730	569
562	731	567
563	732	566
564	733	564
565	734	562
566	734	561
567	738	561
568	739	560
569	740	558
570	741	557
571	742	555
572	743	553
573	744	552
574	745	550
575	745	549
576	746	547
577	747	545
578	748	544
579	749	542
580	749	540
581	750	539
582	753	538
583	754	537
584	755	536
585	756	534
586	757	532
587	758	531
588	759	529
589	760	528
590	760	526
591	761	524
592	762	523
593	763	521
594	764	520
595	764	518
596	768	518
597	769	517
598	770	515
599	771	514
600	771	512
601	772	510
602	773	509
603	774	507
604	774	505
605	775	504
606	776	502
607	777	501
608	778	499
609	778	498
610	779	496
611	782	495
612	783	494
613	784	493
614	785	491
615	786	490
616	787	488
617	787	487
618	788	485
619	789	483
620	790	482
621	790	480
622	791	479
623	792	477
624	793	476
625	794	474
626	795	473
627	797	472
628	798	471
629	799	469
630	800	468
631	801	466
632	802	465
633	803	463
634	803	462
635	804	460
636	805	458
637	806	457
638	807	455
639	807	454
640	808	452
641	813	453
642	814	452
643	815	451
644	817	449
645	818	448
646	819	446
647	820	445
648	821	444
649	822	443
650	823	441
651	824	440
652	828	440
653	829	438
654	830	437
655	831	436
656	832	434
657	832	432
658	833	431
659	835	430
660	835	428
661	836	427
662	838	426
663	839	424
664	839	423
665	843	423
666	845	422
667	846	420
668	846	419
669	847	417
670	849	416
671	850	414
672	850	413
673	851	412
674	852	410
675	853	409
676	854	407
677	855	406
678	857	405
679	858	404
680	860	403
681	861	401
682	861	400
683	862	398
684	863	397
685	864	395
686	865	394
687	866	392
688	866	391
689	867	389
690	870	389
691	871	387
692	872	386
693	873	384
694	874	383
695	876	382
696	877	381
697	878	380
698	879	378
699	880	377
700	881	376
701	882	374
702	885	373
703	886	372
704	887	371
705	888	370
706	889	368
707	890	367
708	891	365
709	892	364
710	893	363
711	894	361
712	895	360
713	896	359
714	897	357
715	900	356
716	901	355
717	902	354
718	902	352
719	903	351
720	904	349
721	905	348
722	906	347
723	907	345
724	907	344
725	908	342
726	909	341
727	910	340
728	910	338
729	911	337
730	912	335
731	914	334
732	916	333
733	917	332
734	917	330
735	918	329
736	919	328
737	920	326
738	921	325
739	921	323
740	922	322
741	923	321
742	923	319
743	924	318
744	925	316
745	926	315
746	926	313
747	927	312
748	930	311
749	931	310
750	932	309
751	933	307
752	933	306
753	934	304
754	935	303
755	936	302
756	937	300
757	937	299
758	938	298
759	939	296
760	940	295
761	940	293
762	941	292
763	942	291
764	944	290
765	945	288
766	946	287
767	947	286
768	948	284
769	948	283
770	949	282
771	950	280
772	951	279
773	952	278
774	953	276
775	953	275
776	954	274
777	955	272
778	956	271
779	957	269
780	958	268
781	960	267
782	961	266
783	962	265
784	963	263
785	963	262
786	964	261
787	965	259
788	966	258
789	966	256
790	967	255
791	968	254
792	969	252
793	969	251
794	970	250
795	971	248
796	971	247
797	974	246
798	976	245
799	978	244
800	979	243
801	982	242
802	983	241
803	983	239
804	984	238
805	985	237
806	986	235
807	991	235
808	993	234
809	995	233
810	996	232
811	997	230
812	998	229
813	999	228
814	999	226
815	1000	225
816	1001	224
817	1004	223
818	1006	222
819	1008	221
820	1010	220
821	1011	219
822	1012	217
823	1013	216
824	1013	215
825	1014	213
826	1015	212
827	1016	211
828	1020	210
829	1023	209
830	1024	208
831	1025	207
832	1026	205
833	1027	204
834	1027	203
835	1028	201
836	1029	200
837	1030	199
838	1030	197
839	1031	196
840	1036	195
841	1037	194
842	1039	193
843	1041	192
844	1042	191
845	1042	189
846	1043	188
847	1044	187
848	1045	185
849	1045	184
850	1046	183
851	1051	182
852	1053	181
853	1054	180
854	1055	179
855	1056	177
856	1057	176
857	1057	175
858	1058	173
859	1059	172
860	1060	171
861	1060	169
862	1061	168
863	1064	167
864	1066	166
865	1067	165
866	1069	164
867	1070	162
868	1071	161
869	1071	160
870	1072	158
871	1073	157
872	1074	156
873	1074	154
874	1075	153
875	1076	152
876	1078	151
877	1080	150
878	1081	148
879	1083	147
880	1084	146
881	1084	145
882	1085	143
883	1086	142
884	1087	141
885	1087	139
886	1088	138
887	1089	137
888	1090	136
889	1093	135
890	1095	133
891	1097	132
892	1099	131
893	1100	130
894	1101	129
895	1102	127
896	1103	126
897	1103	125
